type,overall_mean_d15N,overall_mean_d13C,overall_sd_d15N,overall_sd_d13C
Algae,2.3994656954166667,-32.54464223916667,2.383172716598816,3.1444915721179685
Leaves,0.27590582766666666,-29.493683763333333,1.545132406199478,0.8753897728957732
Collector/Filterer,4.434057765151516,-28.253280050083397,2.119415897447553,2.356445282721598
Collector/Gatherer,3.211963360881542,-27.916190721016726,2.1093079711283074,2.0733353934551997
Predator,5.058132786195285,-27.709091015153362,2.241771802727446,2.994769366801658
Scraper,4.238153156565656,-28.29187859092254,2.1135646885371266,2.4177970016497183
AMsp,4.706878299040042,-24.662783781741158,2.5665952593624457,1.9545279151305628
CACL,5.234060411278139,-24.804520187615516,2.1418375935698695,1.9588084234789331
CAIN,4.723084704829893,-23.882918928916798,1.562078553518522,1.5592849500760713
GIRO,5.788723689509799,-23.82193697457313,1.8142152092832808,2.0037825534332523
LECY,5.494197895362004,-24.25136229648173,1.7961910799670944,2.2812345667288816
Physidae,4.5080613636363625,-28.010110107803932,2.1959803688685384,2.8450266404491993
