fish,sampleID,site,layer,length,eye_diam,C.d15N,C.d13C,lens_age,age,species,site_class
BU-1-AMME-01,BU-1-AMME-01-R01,BU-1,R01,84,0.7,0.175943266,3.647946382,0.531025253,1,AMME,mixed
BU-1-CACL-01,BU-1-CACL-01-R02,BU-1,R02,170,1.4,3.075241471,4.239491858,0.283833287,2,CACL,mixed
BU-1-CACL-01,BU-1-CACL-01-R03,BU-1,R03,170,1.4,2.605121791,-1.146552933,0.587338454,2,CACL,mixed
BU-1-CACL-01,BU-1-CACL-01-R04,BU-1,R04,170,1.4,1.919405825,-0.429629731,0.73650595,2,CACL,mixed
BU-1-CACL-01,BU-1-CACL-01-R05,BU-1,R05,170,1.4,2.236811469,1.429059018,1.092181563,2,CACL,mixed
BU-1-CACL-01,BU-1-CACL-01-R06,BU-1,R06,170,1.4,2.551222719,2.67562498,1.613902585,2,CACL,mixed
BU-1-CACL-02,BU-1-CACL-02-R02,BU-1,R02,153,1.25,1.944359099,5.701922675,0.333672446,2,CACL,mixed
BU-1-CACL-02,BU-1-CACL-02-R04,BU-1,R04,153,1.25,1.33849361,4.784859268,0.796341934,2,CACL,mixed
BU-1-CACL-02,BU-1-CACL-02-R05,BU-1,R05,153,1.25,0.526015013,5.285860047,1.272234691,2,CACL,mixed
BU-1-CACL-02,BU-1-CACL-02-R06,BU-1,R06,153,1.25,0.860388883,6.889283627,1.651447215,2,CACL,mixed
BU-1-CACL-03,BU-1-CACL-03-R01,BU-1,R01,159,1.3,1.574778429,7.112307624,0.211530058,2,CACL,mixed
BU-1-CACL-03,BU-1-CACL-03-R02,BU-1,R02,159,1.3,1.358184011,4.918966621,0.526743376,2,CACL,mixed
BU-1-CACL-03,BU-1-CACL-03-R03,BU-1,R03,159,1.3,1.601727964,4.852522376,0.742978961,2,CACL,mixed
BU-1-CACL-03,BU-1-CACL-03-R04,BU-1,R04,159,1.3,1.935103703,5.702618093,1.132378014,2,CACL,mixed
BU-1-CACL-03,BU-1-CACL-03-R05,BU-1,R05,159,1.3,2.286445799,6.455573049,1.603741809,2,CACL,mixed
BU-1-CACL-04,BU-1-CACL-04-L02,BU-1,L02,153,1.15,1.186505487,3.778358637,0.401978816,2,CACL,mixed
BU-1-CACL-04,BU-1-CACL-04-L03,BU-1,L03,153,1.15,0.337096045,3.628097535,0.761935092,2,CACL,mixed
BU-1-CACL-04,BU-1-CACL-04-L04,BU-1,L04,153,1.15,0.222310985,7.377616577,1.28473648,2,CACL,mixed
BU-1-CACL-05,BU-1-CACL-05-R01,BU-1,R01,152,1.25,2.764550526,6.085030534,0.158607499,2,CACL,mixed
BU-1-CACL-05,BU-1-CACL-05-R02,BU-1,R02,152,1.25,1.320255035,6.511916676,0.467848127,2,CACL,mixed
BU-1-CACL-05,BU-1-CACL-05-R03,BU-1,R03,152,1.25,0.816198903,2.564582719,0.689726518,2,CACL,mixed
BU-1-CACL-05,BU-1-CACL-05-R04,BU-1,R04,152,1.25,0.743335344,3.426768739,1.164178337,2,CACL,mixed
BU-1-CACL-05,BU-1-CACL-05-R05,BU-1,R05,152,1.25,1.073716689,4.997317953,1.674770948,2,CACL,mixed
BU-1-CACL-06,BU-1-CACL-06-R01,BU-1,R01,132,1.1,1.203473713,6.492652642,0.43038467,2,CACL,mixed
BU-1-CACL-06,BU-1-CACL-06-R02,BU-1,R02,132,1.1,0.437907271,5.21687086,0.84843133,2,CACL,mixed
BU-1-CACL-06,BU-1-CACL-06-R03,BU-1,R03,132,1.1,0.989873689,5.196010603,1.252221772,2,CACL,mixed
BU-1-CACL-06,BU-1-CACL-06-R04,BU-1,R04,132,1.1,2.718636502,3.734098901,1.722268875,2,CACL,mixed
BU-1-CACL-07,BU-1-CACL-07-R01,BU-1,R01,137,1.05,1.449013928,6.383302744,0.244457871,2,CACL,mixed
BU-1-CACL-07,BU-1-CACL-07-R02,BU-1,R02,137,1.05,0.386004462,5.275569402,0.679211634,2,CACL,mixed
BU-1-CACL-07,BU-1-CACL-07-R03,BU-1,R03,137,1.05,0.202348366,4.151898755,1.142541094,2,CACL,mixed
BU-1-CACL-08,BU-1-CACL-08-R01,BU-1,R01,125,1.1,1.408907212,7.551328024,0.436690453,2,CACL,mixed
